state,fips,zip_code,plan_id,plan_name,plan_description,product_type_code,age,gender,tobacco_ind,rate
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,1,Male,yes,61
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,2,Male,yes,381
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,3,Male,yes,413
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,4,Male,yes,309
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,5,Male,yes,155
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,6,Male,yes,295
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,7,Male,yes,344
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,8,Male,yes,36
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,9,Male,yes,390
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,10,Male,yes,429
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,11,Male,yes,263
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,12,Male,yes,53
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,13,Male,yes,133
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,14,Male,yes,344
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,15,Male,yes,477
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,16,Male,yes,486
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,17,Male,yes,124
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,18,Male,yes,335
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,19,Male,yes,466
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,20,Male,yes,29
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,21,Male,yes,442
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,22,Male,yes,482
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,23,Male,yes,258
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,24,Male,yes,281
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,25,Male,yes,329
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,26,Male,yes,478
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,27,Male,yes,335
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,28,Male,yes,451
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,29,Male,yes,234
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,30,Male,yes,182
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,31,Male,yes,141
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,32,Male,yes,469
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,33,Male,yes,461
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,34,Male,yes,450
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,35,Male,yes,225
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,36,Male,yes,214
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,37,Male,yes,409
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,38,Male,yes,123
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,39,Male,yes,31
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,40,Male,yes,239
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,41,Male,yes,407
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,42,Male,yes,247
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,43,Male,yes,336
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,44,Male,yes,239
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,45,Male,yes,92
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,46,Male,yes,174
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,47,Male,yes,439
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,48,Male,yes,204
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,49,Male,yes,141
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,50,Male,yes,427
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,51,Male,yes,103
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,52,Male,yes,280
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,53,Male,yes,349
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,54,Male,yes,120
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,55,Male,yes,342
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,56,Male,yes,355
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,57,Male,yes,442
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,58,Male,yes,310
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,59,Male,yes,74
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,60,Male,yes,271
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,61,Male,yes,77
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,62,Male,yes,106
FL,12001,32601,52323FL0406335,Zeus Sunshine Plan,Zeus Sunshine Plan,HMO,63,Male,yes,350
